State,Weather_Condition,Severity,Count
WV,Partly Cloudy,4,9
WY,Clear,2,16
WY,Clear,3,17
WY,Clear,4,2
WY,Fair,2,4
WY,Fair,3,10
WY,Fair,4,13
WY,Mostly Cloudy,2,2
WY,Mostly Cloudy,3,10
WY,Mostly Cloudy,4,1
WY,Overcast,2,3
WY,Overcast,3,48
WY,Overcast,4,1
WY,Partly Cloudy,2,1
WY,Partly Cloudy,3,5
WY,Partly Cloudy,4,1
